cnote,dispatch_time,client_name,weight,origin_cluster,to_pincode,trip_id,bp_id,serviceability
1003322963,2019-05-10 16:24:00.0,MSN laboratories Pvt Ltd,10.0,HYDT1,384315,846520,BP1534,ODA_1_1
1003396402,2019-05-10 22:58:00.0,SHANTI INTERNATIONAL,306.0,DELT1,829117,846539,BP1414,ODA_2_4
2000692180,2019-05-10 17:17:00.0,RETAIL,26.0,BOMT1,204101,846544,BP1510,ODA_1_1
1003348570,2019-05-10 17:17:00.0,SPOTON,160.0,DELT1,204101,846544,BP1510,ODA_1_1
1003367624,2019-05-14 14:35:00.0,RETAIL,10.0,BLRT1,673525,846554,BP1206,ODA_1_1
2000856887,2019-05-10 15:43:00.0,RETAIL,55.0,BOMT1,313905,846567,BP1599,ODA_1_1
2000856888,2019-05-10 15:43:00.0,RETAIL,55.0,BOMT1,313905,846567,BP1599,ODA_1_1
2000856889,2019-05-10 15:43:00.0,RETAIL,55.0,BOMT1,313905,846567,BP1599,ODA_1_1
2000826966,2019-05-10 15:46:00.0,RETAIL,45.0,BOMT1,301021,846571,BP1033,ODA_1_1
1003405112,2019-05-10 19:19:00.0,COMAC INDIA PVT LTD,20.0,DELT1,524344,846584,BP1310,ODA_1_1
8000703815,2019-05-10 22:32:00.0,Vu Technologies Pvt Ltd,275.0,BOMT1,125055,846606,BP1072,ODA_4_5
1002385846,2019-05-10 22:32:00.0,DEEMARK HEALTH CARE,10.0,AMBT1,125055,846606,BP1072,ODA_4_5
1003147890,2019-05-10 20:40:00.0,DEEMARK HEALTH CARE,177.0,AMBT1,271001,846624,BP1614,ODA_2_2
1003296738,2019-05-10 20:40:00.0,Fleetguard Filters,23.0,DELT1,271002,846624,BP1614,ODA_2_2
1003358164,2019-05-10 20:40:00.0,Fleetguard Filters,78.0,DELT1,271002,846624,BP1614,ODA_2_2
2000644600,2019-05-10 16:56:00.0,RETAIL,73.0,BOMT2,273209,846625,BP1606,ODA_1_1
1003370070,2019-05-10 16:56:00.0,Blend Colours Pvt. Ltd.Special,495.0,HYDT1,273209,846625,BP1606,ODA_1_1
1003378220,2019-05-11 10:11:00.0,ETHICS INNOVATIONS PVT. LTD.,36.4,DELT1,670307,846638,BP1206,ODA_4_5
1003378246,2019-05-11 10:11:00.0,ETHICS INNOVATIONS PVT. LTD.,29.6,DELT1,670307,846638,BP1206,ODA_4_5
1003348845,2019-05-11 10:11:00.0,TCNS CLOTHING COMPANY  LIMITED,13.0,DELT1,670307,846638,BP1206,ODA_4_5
2000861198,2019-05-11 10:11:00.0,RETAIL,250.0,HYDT1,670141,846638,BP1206,ODA_4_5
1002947685,2019-05-11 10:11:00.0,S & T Welcare Equipments Pvt Ltd,35.0,CJBT1,670307,846638,BP1206,ODA_4_5
2000856633,2019-05-10 17:23:00.0,RETAIL,40.0,BOMT1,621012,846644,BP1661,ODA_2_2
2000848957,2019-05-10 17:23:00.0,RETAIL,67.0,BOMT1,621012,846644,BP1661,ODA_2_2
2000848958,2019-05-10 17:23:00.0,RETAIL,67.0,BOMT1,621002,846644,BP1661,ODA_1_1
1003351587,2019-05-11 16:22:00.0,K P Manish Global Ingredients Pvt. Ltd,1680.0,BOMT1,306401,846669,BP1175,ODA_2_2
1003351567,2019-05-11 16:22:00.0,K P Manish Global Ingredients Pvt. Ltd,1500.0,BOMT1,306401,846669,BP1175,ODA_2_2
2000877976,2019-05-10 18:38:00.0,RETAIL,40.0,MAAT2,247656,846706,BP1053,ODA_1_1
1003299436,2019-05-11 09:30:00.0,Schwing Stetter India Private Limtied,3100.0,MAAT1,361335,846709,BP1022,ODA_4_7
1003372225,2019-05-10 18:50:00.0,ITC LTD-KOLKATA,4.0,DELT1,328001,846710,BP1510,ODA_2_2
1003347977,2019-05-10 18:50:00.0,Godrej& Boyce,41.0,BOMT1,328001,846710,BP1510,ODA_2_2
8000776464,2019-05-10 18:50:00.0,SDPL,62.0,DELT1,283115,846711,BP1510,ODA_2_2
2000375383,2019-05-10 19:57:00.0,RETAIL,243.0,BLRT1,285001,846725,BP1545,ODA_4_5
1003374748,2019-05-10 19:57:00.0,Sun Pharmaceutical Industries Ltd.,19.0,BOMT1,285001,846725,BP1545,ODA_4_5
1003374667,2019-05-10 19:57:00.0,Sun Pharmaceutical Industries Ltd.,10.0,BOMT1,285001,846725,BP1545,ODA_4_5
1003156655,2019-05-10 19:57:00.0,Datawind Innovations private limited,15.84,AMBT1,285001,846725,BP1545,ODA_4_5
1003305654,2019-05-10 19:57:00.0,Aahaa Stores Pvt. Ltd.,21.1,DELT1,285001,846725,BP1545,ODA_4_5
1003033274,2019-05-10 20:29:00.0,Sekhani Industries Pvt Ltd,140.0,PNQT1,416115,846739,BP1215,ODA_2_2
1003374828,2019-05-11 09:08:00.0,Sun Pharmaceutical Industries Ltd.,19.0,BOMT1,209625,846740,BP1545,ODA_5_5
1003374674,2019-05-11 09:08:00.0,Sun Pharmaceutical Industries Ltd.,10.0,BOMT1,209625,846740,BP1545,ODA_5_5
8000791819,2019-05-11 09:08:00.0,Summercool Home Appliances,160.0,NOIT1,209601,846740,BP1545,ODA_5_5
